team,fielders_used,defensive_efficiency,errors,fielding_percentage,Rtot,year
TEX,38,.684,87,.986,23,1996
TOR,40,.691,110,.982,-19,1996
ANA,41,.690,123,.980,21,1997
ATL,38,.700,114,.982,69,1997
BAL,38,.699,97,.984,14,1997
BOS,45,.674,135,.978,24,1997
CHC,42,.692,112,.981,38,1997
CHW,45,.688,127,.978,-26,1997
CIN,50,.697,106,.982,-13,1997
CLE,46,.680,106,.983,7,1997
COL,42,.667,111,.983,-1,1997
DET,43,.698,92,.985,-59,1997
FLA,43,.692,116,.981,-5,1997
HOU,41,.693,131,.979,64,1997
KCR,50,.691,91,.985,53,1997
LAD,42,.706,116,.981,-37,1997
MIL,44,.695,121,.980,50,1997
MIN,38,.681,101,.983,-7,1997
MON,41,.696,132,.979,22,1997
NYM,45,.697,120,.981,44,1997
NYY,40,.685,104,.983,-63,1997
OAK,49,.660,122,.980,-90,1997
PHI,46,.680,108,.982,11,1997
PIT,43,.675,131,.979,-89,1997
SDP,45,.672,132,.979,-130,1997
SEA,47,.678,126,.979,7,1997
SFG,42,.684,125,.980,42,1997
STL,51,.686,123,.980,59,1997
TEX,43,.675,121,.980,21,1997
TOR,44,.687,94,.984,12,1997
ANA,45,.686,106,.983,-65,1998
ARI,45,.704,100,.984,18,1998
ATL,42,.700,91,.985,84,1998
BAL,47,.685,81,.987,-10,1998
BOS,47,.703,105,.983,62,1998
CHC,47,.683,101,.984,-16,1998
CHW,39,.686,140,.977,5,1998
CIN,47,.697,122,.980,13,1998
CLE,46,.682,110,.982,37,1998
COL,42,.675,102,.984,14,1998
DET,45,.685,115,.982,57,1998
FLA,49,.669,129,.979,-12,1998
HOU,37,.689,108,.983,0,1998
KCR,50,.676,125,.980,-10,1998
LAD,52,.695,134,.978,-20,1998
MIL,43,.681,110,.982,25,1998
MIN,38,.678,108,.982,-107,1998
MON,41,.687,155,.975,34,1998
NYM,49,.699,101,.984,8,1998
NYY,37,.708,98,.984,28,1998
OAK,44,.682,141,.977,-66,1998
PHI,40,.689,110,.982,38,1998
PIT,38,.686,140,.977,-14,1998
SDP,42,.691,104,.983,-52,1998
SEA,47,.673,125,.979,-14,1998
SFG,40,.699,101,.984,13,1998
STL,45,.687,142,.978,7,1998
TBD,42,.699,94,.985,91,1998
TEX,40,.668,121,.980,19,1998
TOR,41,.692,125,.979,1,1998
ANA,45,.699,106,.983,72,1999
ARI,42,.701,104,.983,42,1999
ATL,44,.694,111,.982,43,1999
BAL,42,.697,89,.986,39,1999
BOS,48,.693,127,.979,48,1999
CHC,46,.676,139,.977,-22,1999
CHW,40,.678,136,.977,-20,1999
CIN,35,.722,105,.983,96,1999
CLE,50,.686,106,.983,33,1999
COL,44,.659,118,.981,-87,1999
DET,41,.688,106,.982,34,1999
FLA,44,.679,127,.979,7,1999
HOU,38,.672,106,.983,31,1999
KCR,50,.680,125,.980,34,1999
LAD,43,.697,137,.978,6,1999
MIL,44,.677,127,.979,-31,1999
MIN,37,.684,92,.985,-9,1999
MON,44,.676,160,.974,-33,1999
NYM,44,.705,68,.989,22,1999
NYY,37,.696,111,.982,-20,1999
OAK,42,.681,122,.980,-49,1999
PHI,41,.695,100,.983,36,1999
PIT,44,.683,147,.976,4,1999
SDP,41,.688,129,.979,22,1999
SEA,51,.671,113,.981,-55,1999
SFG,35,.694,105,.983,-47,1999
STL,42,.680,132,.978,-3,1999
TBD,46,.661,135,.978,-54,1999
TEX,38,.671,119,.981,-5,1999
TOR,51,.678,106,.983,8,1999
ANA,45,.699,134,.978,71,2000
ARI,41,.687,107,.982,17,2000
ATL,46,.692,129,.979,36,2000
BAL,48,.684,116,.981,-21,2000
BOS,50,.696,109,.982,38,2000
CHC,50,.693,100,.983,6,2000
CHW,41,.685,133,.978,6,2000
CIN,45,.702,111,.982,48,2000
CLE,55,.678,72,.988,-14,2000
COL,49,.684,94,.985,55,2000
DET,44,.679,105,.983,4,2000
FLA,39,.684,125,.980,-11,2000
HOU,45,.678,133,.978,-53,2000
KCR,44,.689,102,.983,44,2000
LAD,45,.696,135,.978,6,2000
MIL,46,.693,118,.981,29,2000
MIN,41,.671,102,.983,-46,2000
MON,49,.672,132,.978,-37,2000
NYM,47,.696,118,.980,11,2000
NYY,46,.693,109,.981,-22,2000
OAK,43,.680,134,.978,-46,2000
PHI,51,.693,100,.983,13,2000
PIT,46,.673,132,.979,-59,2000
SDP,55,.696,141,.977,-6,2000
SEA,37,.698,99,.984,29,2000
SFG,36,.689,93,.985,6,2000
STL,46,.699,111,.981,43,2000
TBD,49,.684,118,.981,10,2000
TEX,41,.667,135,.978,-62,2000
TOR,45,.676,100,.984,1,2000
ANA,37,.700,103,.983,39,2001
ARI,45,.703,84,.986,49,2001
ATL,47,.702,103,.983,61,2001
BAL,46,.694,125,.979,-13,2001
BOS,48,.684,113,.981,-50,2001
CHC,43,.688,109,.982,-12,2001
CHW,41,.698,118,.981,7,2001
CIN,49,.684,138,.978,-39,2001
CLE,43,.670,107,.982,-49,2001
COL,52,.691,96,.984,61,2001
DET,42,.675,131,.979,-35,2001
FLA,42,.692,103,.983,13,2001
HOU,43,.692,110,.982,-3,2001
KCR,44,.690,117,.981,50,2001
LAD,41,.696,116,.981,-33,2001
MIL,46,.696,103,.983,-7,2001
MIN,42,.698,108,.982,30,2001
MON,46,.682,108,.982,-46,2001
NYM,43,.694,101,.983,-1,2001
NYY,45,.683,109,.982,-57,2001
OAK,41,.699,125,.980,19,2001
PHI,44,.699,91,.985,42,2001
PIT,49,.687,133,.978,-3,2001
SDP,48,.686,145,.976,-46,2001
SEA,35,.727,83,.986,104,2001
SFG,41,.692,118,.981,6,2001
STL,39,.703,110,.982,61,2001
TBD,46,.683,139,.977,-28,2001
TEX,51,.673,114,.981,-47,2001
TOR,40,.680,97,.985,-4,2001
ANA,40,.718,87,.986,98,2002
ARI,41,.697,89,.985,-4,2002
ATL,38,.712,114,.982,77,2002
BAL,46,.701,91,.985,43,2002
BOS,39,.702,104,.983,62,2002
CHC,44,.685,114,.981,-55,2002
CHW,35,.706,97,.984,13,2002
CIN,43,.690,120,.981,1,2002
CLE,59,.674,113,.981,-49,2002
COL,43,.691,112,.982,34,2002
DET,56,.678,142,.977,-41,2002
FLA,41,.689,106,.983,-13,2002
HOU,41,.687,83,.986,-44,2002
KCR,52,.685,130,.979,-21,2002
LAD,41,.716,90,.985,44,2002
MIL,49,.696,103,.983,-14,2002
MIN,42,.703,74,.987,21,2002
MON,43,.684,139,.978,-13,2002
NYM,47,.692,144,.976,-23,2002
NYY,37,.688,127,.979,-56,2002
OAK,41,.704,102,.984,-6,2002
PHI,39,.705,88,.986,24,2002
PIT,37,.693,115,.982,11,2002
SDP,59,.675,128,.979,-71,2002
SEA,38,.703,88,.985,5,2002
SFG,38,.705,90,.985,38,2002
STL,44,.707,103,.983,49,2002
TBD,43,.687,126,.979,-8,2002
TEX,51,.688,99,.984,-22,2002
TOR,45,.690,107,.982,-7,2002
ANA,43,.702,105,.982,86,2003
ARI,43,.690,107,.983,25,2003
ATL,34,.699,121,.981,42,2003
BAL,42,.684,105,.983,-49,2003
BOS,47,.683,113,.982,-49,2003
CHC,42,.692,106,.983,7,2003
CHW,40,.705,93,.984,26,2003
CIN,57,.685,141,.977,29,2003
CLE,54,.698,126,.980,31,2003
COL,49,.678,116,.981,9,2003
DET,42,.685,138,.978,-43,2003
FLA,40,.691,78,.987,-15,2003
HOU,43,.705,95,.985,-9,2003
KCR,53,.690,108,.982,-17,2003
LAD,42,.702,119,.981,48,2003
MIL,42,.683,114,.981,-15,2003
MIN,42,.698,87,.985,-35,2003
MON,43,.694,102,.983,9,2003
NYM,50,.688,118,.980,-51,2003
NYY,49,.681,114,.981,-66,2003
OAK,41,.711,107,.983,19,2003
PHI,37,.701,97,.984,62,2003
PIT,45,.691,123,.980,-28,2003
SDP,51,.695,102,.983,-26,2003
SEA,36,.721,65,.989,75,2003
SFG,46,.710,80,.987,46,2003
STL,42,.700,77,.987,32,2003
TBD,50,.708,103,.983,-12,2003
TEX,52,.674,94,.985,-43,2003
TOR,40,.681,117,.981,-50,2003
ANA,38,.688,90,.985,-10,2004
ARI,52,.682,139,.977,-7,2004
ATL,39,.688,116,.981,49,2004
BAL,46,.686,110,.982,-13,2004
BOS,49,.693,118,.981,-2,2004
CHC,43,.697,86,.986,-2,2004
CHW,42,.693,100,.984,-4,2004
CIN,44,.688,113,.981,-13,2004
CLE,51,.684,106,.983,-20,2004
COL,47,.677,89,.986,-34,2004
DET,39,.681,144,.977,-19,2004
FLA,45,.699,86,.986,13,2004
HOU,42,.685,101,.983,8,2004
KCR,58,.674,131,.978,-52,2004
LAD,43,.711,73,.988,70,2004
MIL,40,.693,117,.981,3,2004
MIN,42,.684,101,.984,-33,2004
MON,46,.694,99,.984,39,2004
NYM,52,.696,137,.978,-23,2004
NYY,43,.685,99,.984,-54,2004
OAK,36,.698,91,.986,19,2004
PHI,39,.702,81,.987,39,2004
PIT,43,.684,103,.983,-17,2004
SDP,46,.693,108,.982,-17,2004
SEA,48,.699,103,.983,19,2004
SFG,42,.694,101,.984,20,2004
STL,37,.710,97,.985,72,2004
TBD,47,.699,119,.980,38,2004
TEX,52,.686,117,.981,-23,2004
TOR,47,.691,91,.985,-20,2004
ARI,43,.683,94,.985,-25,2005
ATL,45,.693,86,.986,71,2005
BAL,46,.692,107,.982,7,2005
BOS,52,.682,109,.982,-73,2005
CHC,43,.699,101,.983,0,2005
CHW,37,.711,94,.985,7,2005
CIN,45,.676,104,.983,-49,2005
CLE,36,.709,106,.983,70,2005
COL,53,.670,118,.981,-23,2005
DET,45,.695,110,.982,15,2005
FLA,47,.677,103,.983,-50,2005
HOU,36,.705,89,.985,42,2005
KCR,45,.666,125,.979,-76,2005
LAA,40,.700,87,.986,25,2005
LAD,44,.699,106,.983,-4,2005
MIL,38,.696,119,.980,-11,2005
MIN,37,.702,102,.984,33,2005
NYM,42,.700,106,.983,10,2005
NYY,51,.690,95,.984,-65,2005
OAK,41,.715,88,.986,60,2005
PHI,40,.703,90,.985,68,2005
PIT,44,.693,117,.981,8,2005
SDP,46,.689,109,.982,-43,2005
SEA,48,.701,86,.986,-8,2005
SFG,49,.699,90,.985,19,2005
STL,40,.703,100,.984,89,2005
TBD,43,.681,124,.979,-42,2005
TEX,50,.680,108,.982,-33,2005
TOR,36,.701,95,.985,7,2005
WSN,54,.697,92,.985,-5,2005
ARI,45,.685,104,.983,10,2006
ATL,45,.686,99,.984,53,2006
BAL,46,.678,102,.983,-2,2006
BOS,53,.679,66,.989,3,2006
CHC,46,.698,106,.982,4,2006
CHW,37,.693,90,.985,-31,2006
CIN,52,.680,128,.979,-29,2006
CLE,45,.675,118,.981,-22,2006
COL,50,.683,91,.985,20,2006
DET,38,.701,106,.983,60,2006
FLA,40,.683,126,.979,-7,2006
HOU,38,.701,80,.987,70,2006
KCR,53,.676,98,.984,-8,2006
LAA,40,.690,124,.979,6,2006
LAD,50,.681,115,.982,-28,2006
MIL,49,.685,117,.980,-17,2006
MIN,38,.685,84,.986,-3,2006
NYM,49,.701,104,.983,40,2006
NYY,49,.696,104,.983,-25,2006
OAK,39,.688,84,.986,-8,2006
PHI,44,.681,104,.983,-12,2006
PIT,41,.674,104,.983,-35,2006
SDP,43,.710,92,.985,29,2006
SEA,49,.690,88,.985,16,2006
SFG,44,.700,91,.985,20,2006
STL,41,.697,98,.984,30,2006
TBD,49,.671,116,.981,-56,2006
TEX,51,.678,98,.984,-33,2006
TOR,42,.693,99,.984,33,2006
WSN,57,.689,131,.978,-34,2006
ARI,47,.691,106,.983,41,2007
ATL,50,.696,107,.983,27,2007
BAL,49,.686,79,.987,-8,2007
BOS,40,.704,81,.986,76,2007
CHC,47,.704,94,.984,51,2007
CHW,43,.680,108,.982,-47,2007
CIN,50,.676,95,.984,-48,2007
CLE,41,.685,92,.985,2,2007
COL,53,.701,68,.989,78,2007
DET,44,.690,99,.984,7,2007
FLA,50,.659,137,.977,-50,2007
HOU,41,.685,103,.983,-17,2007
KCR,45,.681,106,.982,17,2007
LAA,42,.678,101,.983,13,2007
LAD,45,.682,114,.981,-19,2007
MIL,40,.675,109,.982,-45,2007
MIN,42,.685,96,.984,-4,2007
NYM,49,.698,101,.983,27,2007
NYY,49,.689,88,.985,9,2007
OAK,52,.691,90,.985,-14,2007
PHI,45,.686,89,.986,19,2007
PIT,46,.673,83,.986,-36,2007
SDP,46,.699,94,.985,-19,2007
SEA,43,.672,90,.985,-32,2007
SFG,44,.694,88,.986,7,2007
STL,45,.689,121,.980,2,2007
TBD,45,.652,117,.980,-67,2007
TEX,50,.679,124,.980,6,2007
TOR,45,.703,102,.984,58,2007
WSN,47,.698,109,.982,8,2007
ARI,41,.685,113,.981,-24,2008
ATL,48,.692,107,.983,-6,2008
BAL,46,.687,100,.983,-4,2008
BOS,46,.698,85,.986,20,2008
CHC,42,.703,99,.983,1,2008
CHW,38,.686,108,.983,-42,2008
CIN,47,.671,114,.981,-40,2008
CLE,48,.685,94,.985,13,2008
COL,49,.677,96,.985,-38,2008
DET,46,.683,113,.981,-18,2008
FLA,44,.692,117,.980,-5,2008
HOU,40,.697,67,.989,11,2008
KCR,43,.688,96,.984,7,2008
LAA,41,.691,91,.985,22,2008
LAD,46,.690,101,.984,26,2008
MIL,42,.700,101,.984,21,2008
MIN,39,.684,108,.982,-23,2008
NYM,49,.699,83,.986,9,2008
NYY,51,.682,83,.986,6,2008
OAK,49,.699,98,.984,20,2008
PHI,38,.695,90,.985,38,2008
PIT,47,.675,107,.983,-20,2008
SDP,59,.694,85,.986,-21,2008
SEA,44,.679,99,.984,-18,2008
SFG,47,.685,96,.983,7,2008
STL,43,.694,85,.986,44,2008
TBR,45,.708,90,.985,24,2008
TEX,54,.666,132,.978,-24,2008
TOR,40,.703,84,.986,17,2008
WSN,50,.686,123,.980,-29,2008
ARI,45,.683,124,.980,-5,2009
ATL,45,.686,96,.985,14,2009
BAL,48,.680,90,.985,-11,2009
BOS,52,.678,82,.986,-26,2009
CHC,45,.698,105,.983,-1,2009
CHW,44,.689,113,.981,-37,2009
CIN,45,.704,89,.985,71,2009
CLE,51,.681,97,.984,-22,2009
COL,45,.688,87,.986,-15,2009
DET,44,.694,88,.985,34,2009
FLA,44,.686,106,.982,-11,2009
HOU,42,.677,78,.987,-50,2009
KCR,43,.675,117,.980,-58,2009
LAA,46,.687,85,.986,-1,2009
LAD,46,.713,83,.986,21,2009
MIL,45,.689,98,.984,-8,2009
MIN,41,.689,76,.987,-38,2009
NYM,51,.693,97,.984,9,2009
NYY,44,.698,86,.985,5,2009
OAK,50,.682,105,.983,-62,2009
PHI,41,.693,76,.987,16,2009
PIT,49,.690,73,.988,-17,2009
SDP,54,.692,94,.984,-35,2009
SEA,46,.712,105,.982,78,2009
SFG,44,.706,88,.985,49,2009
STL,42,.694,96,.985,35,2009
TBR,41,.695,98,.983,56,2009
TEX,44,.697,106,.982,72,2009
TOR,44,.681,76,.988,13,2009
WSN,55,.683,143,.977,-16,2009
ARI,48,.689,102,.983,27,2010
ATL,43,.690,126,.980,25,2010
BAL,45,.690,105,.982,-10,2010
BOS,53,.691,111,.982,30,2010
CHC,44,.681,126,.979,-53,2010
CHW,39,.679,103,.983,-39,2010
CIN,44,.701,72,.988,26,2010
CLE,44,.687,110,.982,7,2010
COL,43,.682,101,.984,22,2010
DET,41,.688,109,.982,37,2010
FLA,57,.681,123,.979,-19,2010
HOU,48,.680,103,.983,-51,2010
KCR,46,.679,121,.980,-21,2010
LAA,46,.692,113,.981,-37,2010
LAD,49,.697,98,.984,2,2010
MIL,43,.675,101,.983,-38,2010
MIN,41,.690,78,.987,-1,2010
NYM,47,.691,87,.986,31,2010
NYY,43,.709,69,.988,12,2010
OAK,49,.711,99,.984,31,2010
PHI,42,.698,83,.986,25,2010
PIT,52,.671,127,.979,-100,2010
SDP,40,.703,72,.988,38,2010
SEA,46,.705,110,.982,28,2010
SFG,42,.707,73,.988,25,2010
STL,42,.694,99,.984,6,2010
TBR,36,.709,85,.986,35,2010
TEX,48,.704,105,.982,4,2010
TOR,44,.689,92,.985,13,2010
WSN,46,.684,127,.979,-7,2010
ARI,51,.701,90,.985,26,2011
ATL,44,.699,83,.987,-8,2011
BAL,49,.682,110,.982,-55,2011
BOS,49,.701,92,.985,12,2011
CHC,42,.678,134,.978,-3,2011
CHW,42,.685,79,.987,-9,2011
CIN,42,.705,91,.985,27,2011
CLE,45,.692,110,.982,2,2011
COL,55,.688,98,.984,-30,2011
DET,45,.692,103,.983,-4,2011
FLA,44,.694,93,.985,-15,2011
HOU,47,.680,116,.981,-2,2011
KCR,42,.687,95,.985,-17,2011
LAA,42,.704,93,.985,37,2011
LAD,48,.701,85,.986,-3,2011
MIL,46,.694,111,.982,24,2011
MIN,44,.677,119,.980,-64,2011
NYM,46,.683,116,.981,-81,2011
NYY,48,.688,102,.983,28,2011
OAK,48,.692,124,.979,-33,2011
PHI,42,.703,74,.988,27,2011
PIT,52,.684,112,.982,-17,2011
SDP,48,.704,94,.985,13,2011
SEA,45,.698,108,.982,-13,2011
SFG,43,.701,104,.983,12,2011
STL,46,.687,116,.982,-4,2011
TBR,40,.724,73,.988,51,2011
TEX,45,.704,114,.981,39,2011
TOR,53,.693,110,.982,20,2011
WSN,43,.697,104,.983,48,2011
ARI,48,.685,90,.985,-14,2012
ATL,41,.703,86,.986,99,2012
BAL,51,.699,106,.983,18,2012
BOS,56,.689,101,.983,45,2012
CHC,53,.692,105,.982,12,2012
CHW,45,.702,70,.988,56,2012
CIN,38,.699,89,.985,24,2012
CLE,47,.685,96,.984,-20,2012
COL,49,.657,122,.980,-60,2012
DET,46,.678,99,.983,-58,2012
HOU,50,.675,118,.981,-69,2012
KCR,45,.673,113,.981,-45,2012
LAA,43,.708,98,.984,39,2012
LAD,50,.702,98,.984,12,2012
MIA,44,.685,103,.983,1,2012
MIL,46,.672,99,.983,-26,2012
MIN,47,.690,107,.983,-20,2012
NYM,48,.694,101,.983,-4,2012
NYY,45,.693,75,.987,-17,2012
OAK,50,.704,111,.982,24,2012
PHI,49,.686,101,.983,-26,2012
PIT,49,.697,112,.982,-23,2012
SDP,53,.697,121,.980,-34,2012
SEA,37,.707,72,.988,1,2012
SFG,45,.693,115,.981,-7,2012
STL,45,.686,107,.983,-5,2012
TBR,43,.704,114,.981,-4,2012
TEX,39,.694,85,.986,9,2012
TOR,54,.694,101,.984,73,2012
WSN,43,.702,94,.985,39,2012
ARI,44,.697,75,.988,39,2013
ATL,43,.700,85,.986,61,2013
BAL,52,.701,54,.991,19,2013
BOS,48,.694,80,.987,20,2013
CHC,56,.706,100,.983,22,2013
CHW,47,.687,121,.980,-66,2013
CIN,39,.715,76,.988,89,2013
CLE,48,.683,98,.983,-12,2013
COL,43,.674,90,.986,-5,2013
DET,39,.682,76,.987,-52,2013
HOU,50,.679,125,.979,-69,2013
KCR,43,.698,85,.986,55,2013
LAA,49,.683,112,.981,-44,2013
LAD,49,.692,109,.982,25,2013
MIA,52,.695,88,.986,11,2013
MIL,40,.697,114,.981,19,2013
MIN,44,.679,81,.987,-43,2013
NYM,53,.691,93,.985,-34,2013
NYY,55,.687,69,.988,-20,2013
OAK,44,.708,97,.983,-7,2013
PHI,51,.679,97,.984,-49,2013
PIT,49,.698,106,.984,18,2013
SDP,47,.696,83,.986,19,2013
SEA,47,.683,88,.986,-53,2013
SFG,44,.689,107,.982,37,2013
STL,44,.691,75,.988,14,2013
TBR,41,.707,59,.990,13,2013
TEX,45,.693,86,.986,54,2013
TOR,53,.690,111,.982,-40,2013
WSN,44,.691,107,.982,-5,2013
ARI,52,.673,101,.983,0,2014
ATL,39,.687,85,.986,26,2014
BAL,43,.706,87,.986,44,2014
BOS,55,.685,92,.985,6,2014
CHC,48,.680,103,.983,-13,2014
CHW,44,.678,107,.982,-60,2014
CIN,45,.712,72,.988,66,2014
CLE,45,.673,116,.981,-45,2014
COL,49,.678,106,.983,38,2014
DET,48,.673,101,.983,-87,2014
HOU,48,.685,106,.983,-46,2014
KCR,48,.693,104,.983,32,2014
LAA,54,.703,83,.986,3,2014
LAD,49,.690,107,.983,7,2014
MIA,44,.675,97,.984,-18,2014
MIL,40,.696,99,.984,15,2014
MIN,48,.672,97,.984,-57,2014
NYM,45,.688,104,.983,-12,2014
NYY,58,.687,92,.984,-14,2014
OAK,43,.710,111,.982,21,2014
PHI,49,.693,83,.987,-7,2014
PIT,44,.694,109,.983,33,2014
SDP,51,.695,101,.983,28,2014
SEA,44,.712,82,.986,33,2014
SFG,46,.703,100,.984,45,2014
STL,45,.701,88,.985,34,2014
TBR,41,.700,88,.985,-22,2014
TEX,64,.675,106,.982,-36,2014
TOR,55,.693,87,.985,-13,2014
WSN,40,.691,100,.984,33,2014
ARI,50,.693,86,.986,38,2015
ATL,60,.681,90,.985,-17,2015
BAL,48,.691,77,.987,-9,2015
BOS,50,.680,97,.984,-16,2015
CHC,50,.695,111,.982,0,2015
CHW,40,.673,101,.983,-39,2015
CIN,49,.689,90,.985,-1,2015
CLE,49,.699,79,.987,41,2015
COL,51,.668,95,.985,-7,2015
DET,47,.690,86,.986,-13,2015
HOU,46,.701,85,.986,15,2015
KCR,45,.701,88,.985,17,2015
LAA,51,.701,93,.984,12,2015
LAD,55,.692,75,.988,24,2015
MIA,51,.694,77,.987,11,2015
MIL,49,.679,116,.981,2,2015
MIN,44,.687,86,.986,-13,2015
NYM,49,.697,88,.986,-3,2015
NYY,55,.685,93,.985,-29,2015
OAK,52,.691,126,.979,-23,2015
PHI,50,.667,117,.981,-61,2015
PIT,44,.679,122,.981,-9,2015
SDP,46,.683,92,.985,-20,2015
SEA,51,.688,94,.985,-31,2015
SFG,48,.706,78,.987,40,2015
STL,45,.688,96,.984,-10,2015
TBR,51,.701,95,.984,12,2015
TEX,57,.687,119,.981,43,2015
TOR,52,.708,88,.985,55,2015
WSN,44,.685,90,.985,4,2015
ARI,50,.665,101,.983,-31,2016
ATL,59,.692,101,.983,10,2016
BAL,46,.688,80,.987,-11,2016
BOS,50,.695,75,.987,21,2016
CHC,45,.728,101,.983,96,2016
CHW,48,.687,95,.984,2,2016
CIN,52,.694,102,.983,9,2016
CLE,48,.696,89,.985,69,2016
COL,47,.667,110,.982,2,2016
DET,44,.689,75,.987,-40,2016
HOU,43,.681,77,.987,-14,2016
KCR,42,.687,94,.984,8,2016
LAA,53,.685,97,.983,-22,2016
LAD,55,.699,80,.986,20,2016
MIA,52,.683,86,.985,-7,2016
MIL,49,.680,136,.978,3,2016
MIN,49,.662,126,.979,-73,2016
NYM,46,.678,90,.985,-17,2016
NYY,53,.694,86,.985,6,2016
OAK,49,.685,97,.984,-53,2016
PHI,49,.681,97,.984,17,2016
PIT,54,.676,111,.982,-21,2016
SDP,58,.687,109,.982,-19,2016
SEA,54,.694,89,.985,5,2016
SFG,45,.702,72,.988,44,2016
STL,40,.679,107,.983,-25,2016
TBR,48,.687,94,.984,-37,2016
TEX,52,.692,97,.984,47,2016
TOR,49,.703,88,.986,11,2016
WSN,42,.700,73,.988,48,2016
ARI,45,.687,108,.982,-3,2017
ATL,48,.683,97,.984,-27,2017
BAL,50,.683,94,.984,-6,2017
BOS,49,.680,107,.982,11,2017
CHC,47,.699,95,.984,34,2017
CHW,51,.700,114,.981,15,2017
CIN,47,.691,81,.986,-16,2017
CLE,41,.683,76,.987,42,2017
COL,41,.683,77,.987,20,2017
DET,48,.668,84,.985,-50,2017
HOU,46,.682,99,.983,-15,2017
KCR,49,.685,79,.987,-23,2017
LAA,55,.700,80,.986,43,2017
LAD,52,.703,88,.985,25,2017
MIA,43,.691,73,.988,-1,2017
MIL,50,.684,115,.981,6,2017
MIN,52,.692,78,.987,37,2017
NYM,51,.667,92,.984,-65,2017
NYY,51,.703,95,.984,29,2017
OAK,54,.686,121,.980,-35,2017
PHI,51,.683,82,.986,-34,2017
PIT,46,.679,99,.984,-29,2017
SDP,52,.683,113,.981,-4,2017
SEA,61,.700,103,.982,16,2017
SFG,49,.679,87,.985,-22,2017
STL,47,.687,94,.984,16,2017
TBR,53,.701,100,.983,17,2017
TEX,51,.695,108,.982,49,2017
TOR,60,.682,92,.985,-35,2017
WSN,49,.698,86,.985,7,2017
ARI,49,.698,75,.988,29,2018
ATL,57,.709,80,.986,41,2018
BAL,56,.674,104,.982,-44,2018
BOS,43,.693,77,.987,24,2018
CHC,50,.700,104,.983,75,2018
CHW,51,.690,114,.981,-49,2018
CIN,53,.685,95,.984,-30,2018
CLE,48,.688,83,.986,-15,2018
COL,41,.688,74,.988,37,2018
DET,49,.694,95,.984,3,2018
HOU,41,.705,63,.989,36,2018
KCR,49,.680,77,.987,-21,2018
LAA,60,.693,76,.987,24,2018
LAD,52,.698,100,.983,8,2018
MIA,51,.697,83,.986,0,2018
MIL,53,.704,108,.982,58,2018
MIN,54,.682,97,.984,-29,2018
NYM,56,.691,88,.985,-38,2018
NYY,49,.684,94,.984,-52,2018
OAK,53,.717,89,.985,49,2018
PHI,48,.677,123,.979,-51,2018
PIT,47,.686,105,.982,-15,2018
SDP,49,.680,100,.983,-35,2018
SEA,53,.691,88,.985,13,2018
SFG,48,.692,97,.984,4,2018
STL,49,.685,133,.978,-19,2018
TBR,54,.708,85,.986,46,2018
TEX,50,.682,120,.980,19,2018
TOR,63,.678,101,.983,-60,2018
WSN,53,.703,64,.989,-4,2018
ARI,44,.692,86,.986,49,2019
ATL,50,.685,78,.987,3,2019
BAL,57,.688,108,.982,6,2019
BOS,47,.673,88,.985,-21,2019
CHC,52,.681,118,.981,14,2019
CHW,47,.678,117,.980,-17,2019
CIN,47,.699,91,.984,16,2019
CLE,53,.695,83,.985,45,2019
COL,50,.677,97,.984,16,2019
DET,53,.666,110,.981,-96,2019
HOU,45,.717,71,.988,57,2019
KCR,51,.678,73,.988,-16,2019
LAA,56,.695,92,.984,1,2019
LAD,45,.710,106,.982,49,2019
MIA,50,.703,94,.984,-3,2019
MIL,49,.691,97,.983,4,2019
MIN,49,.673,111,.981,-17,2019
NYM,51,.679,99,.983,-41,2019
NYY,54,.686,102,.982,9,2019
OAK,49,.710,80,.987,42,2019
PHI,53,.687,97,.984,15,2019
PIT,54,.666,121,.980,-71,2019
SDP,54,.680,116,.980,-46,2019
SEA,67,.688,132,.978,-2,2019
SFG,63,.699,90,.985,10,2019
STL,42,.706,66,.989,38,2019
TBR,57,.695,87,.985,22,2019
TEX,53,.671,105,.982,-34,2019
TOR,60,.685,96,.984,-9,2019
WSN,50,.689,87,.985,14,2019
ARI,45,.689,35,.983,5,2020
ATL,48,.692,33,.985,-7,2020
BAL,45,.698,43,.980,15,2020
BOS,47,.647,45,.979,-22,2020
CHC,45,.708,30,.986,28,2020
CHW,46,.712,38,.982,18,2020
CIN,43,.707,27,.986,-15,2020
CLE,39,.701,30,.986,16,2020
COL,40,.675,42,.981,7,2020
DET,44,.690,27,.987,1,2020
HOU,42,.703,20,.991,10,2020
KCR,48,.683,31,.985,-1,2020
LAA,45,.698,36,.983,-15,2020
LAD,38,.729,40,.982,37,2020
MIA,61,.686,39,.981,-18,2020
MIL,43,.687,34,.984,-13,2020
MIN,42,.703,20,.990,19,2020
NYM,46,.668,32,.985,-33,2020
NYY,42,.695,48,.976,-4,2020
OAK,37,.703,26,.987,-2,2020
PHI,46,.642,35,.983,-41,2020
PIT,49,.697,47,.978,4,2020
SDP,46,.695,32,.985,9,2020
SEA,48,.708,23,.989,-2,2020
SFG,44,.699,41,.980,6,2020
STL,44,.731,33,.983,28,2020
TBR,43,.693,33,.985,13,2020
TEX,49,.704,40,.981,12,2020
TOR,48,.681,38,.982,-9,2020
WSN,43,.664,39,.981,-22,2020
